source_file,part_id,dimension_id,nominal_value,unit,measured_feature,tolerance_type,plus,minus,lower_limit,upper_limit,confidence_score,source_page,requires_human_review
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D1,115.24,mm,Overall length/position,bilateral,0.1,0.1,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D2,7.874,mm,Length,bilateral,0.13,0.13,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D3,1.4,mm,Chamfer size (X),bilateral,0.13,0.13,,,0.9649999999999999,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D4,12.7,mm,Corner radius,bilateral,0.64,0.64,,,0.9649999999999999,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D5,5.08,mm,Vertical distance,bilateral,0.13,0.13,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D6,7.19,mm,Vertical distance,bilateral,0.1,0.1,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D7,54.31,mm,Horizontal distance,bilateral,0.13,0.13,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D8,887.23,mm,Diameter,bilateral,0.13,0.13,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D9,831.75,mm,Diameter (AVG),bilateral,0.05,0.05,,,0.9649999999999999,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D10,1.65,mm,Chamfer size (X),missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D11,887.171,mm,Diameter (AVG),bilateral,0.05,0.05,,,0.9649999999999999,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D12,845.91,mm,Diameter,bilateral,0.13,0.13,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D13,837.997,mm,Diameter (AVG),bilateral,0.05,0.05,,,0.9649999999999999,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D14,5.59,mm,Horizontal distance,bilateral,0.13,0.13,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D15,9.59,mm,Horizontal distance,bilateral,0.13,0.13,,,0.986,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D16,9.02,mm,Vertical distance,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D17,3.81,mm,Radius,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D18,6.654,deg,Angle,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D19,824.26,mm,Diameter,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D20,9.89,mm,Horizontal distance,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D21,206.0,mm,Radius,missing,,,,,0.75225,2,False
Data\5377630-01-Front_case.pdf,5377630-01-Front_case,D22,1.286,deg,Angle,missing,,,,,0.75225,2,False
